N,T,trial,iterations,fitness,time,fevals
20,8,0,0,9.0,0.000101530999927,141,0
20,8,0,10,9.0,0.000300641999729,255,0
20,8,0,20,10.0,0.000438912999471,375,1
20,8,0,30,12.0,0.000529381999513,495,0
20,8,0,40,12.0,0.000673183999425,609,0
20,8,0,50,12.0,0.000813825999558,730,1
20,8,0,60,12.0,0.00089876499942,842,2
20,8,0,70,15.0,0.00103506099958,959,3
20,8,0,80,12.0,0.00116068999932,1077,0
20,8,0,90,12.0,0.00129935699943,1195,1
20,8,0,100,12.0,0.00142103599956,1315,2
20,8,0,110,12.0,0.00151347999963,1431,3
20,8,0,120,12.0,0.00162133099957,1551,4
20,8,0,130,12.0,0.00176592399976,1672,5
20,8,0,140,12.0,0.00192592399981,1793,6
20,8,0,150,12.0,0.00207683699955,1918,7
20,8,0,160,12.0,0.00218982399974,2033,8
20,8,0,170,12.0,0.00228661399979,2151,9
20,8,0,180,12.0,0.00238221899963,2270,10
20,8,0,190,12.0,0.00246557699984,2387,11
20,8,0,200,14.0,0.00256631699995,2503,12
20,8,0,210,14.0,0.0026571809999,2618,13
20,8,0,220,17.0,0.00281085999995,2732,14
20,8,0,230,14.0,0.00289895900005,2850,0
20,8,0,240,14.0,0.00304394700015,2968,1
20,8,0,250,14.0,0.00313876200016,3088,2
20,8,0,260,14.0,0.00323752700024,3208,3
20,8,0,270,16.0,0.0033536750002,3331,4
20,8,0,280,14.0,0.00349905700023,3448,5
20,8,0,290,16.0,0.00360888400019,3565,6
20,8,0,300,16.0,0.00372977300003,3688,7
20,8,0,310,16.0,0.00388068600023,3812,8
20,8,0,320,17.0,0.00396562400056,3933,9
20,8,0,330,16.0,0.00407071100017,4049,10
20,8,0,340,16.0,0.00416947700023,4164,11
20,8,0,350,16.0,0.00431920600022,4281,12
20,8,0,360,16.0,0.00442982300001,4398,13
20,8,0,370,16.0,0.0045277979998,4519,14
20,8,0,380,19.0,0.00461747699956,4641,15
20,8,0,390,16.0,0.00471545199935,4763,0
20,8,0,400,16.0,0.00486280999939,4877,1
20,8,0,410,16.0,0.00501490799979,4993,2
20,8,0,420,20.0,0.00515831499979,5110,3
20,8,0,430,16.0,0.00524641399988,5229,0
20,8,0,440,20.0,0.00533846300004,5349,1
20,8,0,450,20.0,0.00550952399999,5470,2
20,8,0,460,20.0,0.00565214100016,5587,3
20,8,0,470,20.0,0.0057374740004,5704,4
20,8,0,480,19.0,0.00583307900024,5821,5
20,8,0,490,20.0,0.00593144899995,5938,6
20,8,0,500,19.0,0.00607169600016,6054,7
20,8,0,510,19.0,0.00616888100012,6173,8
20,8,0,520,18.0,0.00630833800005,6294,9
20,8,0,530,19.0,0.00640117700004,6410,10
20,8,0,540,20.0,0.00655801599987,6532,11
20,8,0,550,20.0,0.00670142299987,6651,12
20,8,0,560,19.0,0.00680374400008,6769,13
20,8,0,570,19.0,0.00689184200019,6885,14
20,8,0,580,19.0,0.00703169400003,7005,15
20,8,0,590,20.0,0.00714428599986,7130,16
20,8,0,600,20.0,0.00731929799986,7244,17
20,8,0,610,20.0,0.00751366799977,7360,18
20,8,0,620,20.0,0.00761756899965,7476,19
20,8,0,630,20.0,0.00774319799984,7594,20
20,8,0,640,20.0,0.00785855599997,7716,21
20,8,0,650,20.0,0.00800038299985,7841,22
20,8,0,660,20.0,0.00809677799998,7953,23
20,8,0,670,20.0,0.00820739500023,8074,24
20,8,0,680,19.0,0.00833697500002,8188,25
20,8,0,690,18.0,0.00847287600027,8309,26
20,8,0,700,19.0,0.00859653000043,8421,27
20,8,0,710,18.0,0.00872453000056,8539,28
20,8,0,720,18.0,0.00880788800077,8654,29
20,8,0,730,18.0,0.00889361600093,8775,30
20,8,0,740,18.0,0.0090287270009,8894,31
20,8,0,750,20.0,0.00917845500089,9008,32
20,8,0,760,20.0,0.00926734400127,9130,33
20,8,0,770,20.0,0.00940877600124,9247,34
20,8,0,780,20.0,0.00950991100126,9365,35
20,8,0,790,20.0,0.009629219001,9480,36
20,8,0,800,20.0,0.00972759000115,9602,37
20,8,0,810,20.0,0.00983030600082,9722,38
20,8,0,820,20.0,0.00998951600104,9840,39
20,8,0,830,20.0,0.0101210710009,9963,40
20,8,0,840,20.0,0.010209170001,10081,41
20,8,0,850,20.0,0.0103423060009,10196,42
20,8,0,860,20.0,0.0104667500009,10312,43
20,8,0,870,20.0,0.0105828980008,10430,44
20,8,0,880,20.0,0.0106947000008,10545,45
20,8,0,890,20.0,0.0107681810005,10663,46
20,8,0,900,20.0,0.0108626000006,10777,47
20,8,0,910,20.0,0.0109522790008,10903,48
20,8,0,920,20.0,0.011090156001,11025,49
20,8,0,930,20.0,0.0111932680011,11140,50
20,8,0,940,20.0,0.0113188980008,11263,51
20,8,0,950,20.0,0.0114595400009,11383,52
20,8,0,960,20.0,0.0115800340009,11501,53
20,8,0,970,20.0,0.0117088250013,11619,54
20,8,0,980,20.0,0.0118012690009,11739,55
20,8,0,990,20.0,0.0119308490007,11860,56
20,8,0,1000,20.0,0.0120225030005,11983,57
20,8,0,1010,20.0,0.0121943550002,12099,58
20,8,0,1020,20.0,0.0122852190002,12214,59
20,8,0,1030,20.0,0.012387145,12334,60
20,8,0,1040,19.0,0.012671985,12452,61
20,8,0,1050,19.0,0.0128240839999,12572,62
20,8,0,1060,20.0,0.0129256139999,12691,63
20,8,0,1070,19.0,0.013097861,12810,64
20,8,0,1080,19.0,0.0132523299999,12929,65
20,8,0,1090,19.0,0.0133708479998,13044,66
20,8,0,1100,20.0,0.0135031929999,13162,67
20,8,0,1110,20.0,0.013597613,13280,68
20,8,0,1120,20.0,0.0137339090002,13399,69
20,8,0,1130,19.0,0.0138374150001,13515,70
20,8,0,1140,19.0,0.013962649,13637,71
20,8,0,1150,19.0,0.014097365,13760,72
20,8,0,1160,19.0,0.014202847,13876,73
20,8,0,1170,19.0,0.0142779079997,13994,74
20,8,0,1180,20.0,0.0144023519997,14106,75
20,8,0,1190,19.0,0.0145343029999,14221,76
20,8,0,1200,19.0,0.0146227959999,14339,77
20,8,0,1210,19.0,0.014763833,14456,78
20,8,0,1220,19.0,0.0149036849998,14581,79
20,8,0,1230,19.0,0.0150435360001,14699,80
20,8,0,1240,20.0,0.0151743010001,14819,81
20,8,0,1250,20.0,0.0152754370001,14936,82
20,8,0,1260,20.0,0.0154192400005,15055,83
20,8,0,1270,20.0,0.0155029930006,15179,84
20,8,0,1280,20.0,0.0156428450009,15303,85
20,8,0,1290,20.0,0.0158060060012,15423,86
20,8,0,1300,20.0,0.0159474380011,15545,87
20,8,0,1310,20.0,0.0160699070011,15662,88
20,8,0,1320,20.0,0.0162026480011,15779,89
20,8,0,1330,20.0,0.016344475001,15903,90
20,8,0,1340,20.0,0.016449956001,16020,91
20,8,0,1350,20.0,0.0165392400013,16139,92
20,8,0,1360,20.0,0.0167008200015,16259,93
20,8,0,1370,20.0,0.0167865490016,16375,94
20,8,0,1380,20.0,0.0168789930017,16495,95
20,8,0,1390,20.0,0.0169639310016,16615,96
20,8,0,1400,20.0,0.0170646710012,16731,97
20,8,0,1410,20.0,0.0171733130014,16848,98
20,8,0,1420,20.0,0.0172527210016,16964,99
20,8,0,1420,20.0,0.0172527210016,16964,optimal
20,8,1,0,7.0,0.000122863999877,138,0
20,8,1,10,7.0,0.000225974999921,259,0
20,8,1,20,7.0,0.00036187600017,376,1
20,8,1,30,9.0,0.000517134999882,494,2
20,8,1,40,9.0,0.000650270999813,607,0
20,8,1,50,9.0,0.000747060999856,725,1
20,8,1,60,9.0,0.000852146999932,845,2
20,8,1,70,9.0,0.000937875000091,965,3
20,8,1,80,10.0,0.00103071400008,1081,4
20,8,1,90,9.0,0.00119229400025,1199,0
20,8,1,100,9.0,0.00128315800021,1322,1
20,8,1,110,9.0,0.00136809700007,1443,2
20,8,1,120,9.0,0.0014656770004,1564,3
20,8,1,130,9.0,0.00157313400041,1678,4
20,8,1,140,10.0,0.00173708400007,1797,5
20,8,1,150,9.0,0.00182834299994,1912,6
20,8,1,160,9.0,0.00191841699962,2030,7
20,8,1,170,9.0,0.00203021899961,2148,8
20,8,1,180,9.0,0.00215821799929,2269,9
20,8,1,190,9.0,0.00228819299946,2379,10
20,8,1,200,11.0,0.00242290899951,2497,11
20,8,1,210,12.0,0.00253313099938,2618,0
20,8,1,220,11.0,0.00267456299935,2732,0
20,8,1,230,12.0,0.0028424649995,2849,1
20,8,1,240,12.0,0.00296137899932,2964,2
20,8,1,250,13.0,0.00308937899945,3081,3
20,8,1,260,13.0,0.00321816899941,3197,0
20,8,1,270,13.0,0.00332483499915,3318,1
20,8,1,280,14.0,0.00348878599925,3437,2
20,8,1,290,14.0,0.00362192199918,3554,0
20,8,1,300,14.0,0.00373648999903,3672,1
20,8,1,310,14.0,0.00387436699884,3791,2
