N,T,trial,iterations,fitness,time,fevals
20,8,0,0,10.0,0.00189510999917,200,0
20,8,0,10,12.0,0.00377876299899,420,0
20,8,0,20,15.0,0.00586705799833,640,0
20,8,0,30,11.0,0.00775387099748,860,0
20,8,0,40,10.0,0.00956167199729,1080,1
20,8,0,50,14.0,0.0117064599963,1300,2
20,8,0,60,15.0,0.0138895699965,1520,3
20,8,0,70,30.0,0.0155571239975,1740,4
20,8,0,80,12.0,0.0172246779966,1960,0
20,8,0,90,12.0,0.0194227999964,2180,1
20,8,0,100,11.0,0.0216631929961,2400,2
20,8,0,110,15.0,0.0232173649965,2620,3
20,8,0,120,13.0,0.0248556849965,2840,4
20,8,0,130,14.0,0.0266342509949,3060,5
20,8,0,140,11.0,0.0290899529955,3280,6
20,8,0,150,18.0,0.0310648649956,3500,7
20,8,0,160,13.0,0.0331456529948,3720,8
20,8,0,170,10.0,0.0365909829943,3940,9
20,8,0,180,10.0,0.0384548829952,4160,10
20,8,0,190,12.0,0.0405945359944,4380,11
20,8,0,200,8.0,0.0427926569937,4600,12
20,8,0,210,11.0,0.0447256929929,4820,13
20,8,0,220,16.0,0.0470130989925,5040,14
20,8,0,230,11.0,0.0496394679922,5260,15
20,8,0,240,10.0,0.052771514991,5480,16
20,8,0,250,30.0,0.057802226991,5700,17
20,8,0,260,16.0,0.0595622259916,5920,18
20,8,0,270,11.0,0.0612214839912,6140,19
20,8,0,280,12.0,0.0638770869919,6360,20
20,8,0,290,12.0,0.0655560979903,6580,21
20,8,0,300,12.0,0.0672876519911,6800,22
20,8,0,310,12.0,0.0694253289912,7020,23
20,8,0,320,13.0,0.0717945119923,7240,24
20,8,0,330,12.0,0.074153027992,7460,25
20,8,0,340,16.0,0.0765601369912,7680,26
20,8,0,350,20.0,0.0786918879912,7900,27
20,8,0,360,18.0,0.0811345519924,8120,28
20,8,0,370,19.0,0.0839173649929,8340,29
20,8,0,380,19.0,0.0862415109932,8560,30
20,8,0,390,16.0,0.0880291639933,8780,31
20,8,0,400,13.0,0.0905279269937,9000,32
20,8,0,410,12.0,0.0938456529948,9220,33
20,8,0,420,14.0,0.0985243649957,9440,34
20,8,0,430,16.0,0.100818090996,9660,35
20,8,0,440,16.0,0.103259965996,9880,36
20,8,0,450,13.0,0.105740555997,10100,37
20,8,0,460,20.0,0.108228257997,10320,38
20,8,0,470,18.0,0.110576897998,10540,39
20,8,0,480,18.0,0.112439612998,10760,40
20,8,0,490,16.0,0.114668944998,10980,41
20,8,0,500,18.0,0.116429338997,11200,42
20,8,0,510,16.0,0.118052251997,11420,43
20,8,0,520,18.0,0.120448694997,11640,44
20,8,0,530,15.0,0.122414125997,11860,45
20,8,0,540,14.0,0.124996641998,12080,46
20,8,0,550,17.0,0.126870812997,12300,47
20,8,0,560,14.0,0.128622514998,12520,48
20,8,0,570,15.0,0.131209376998,12740,49
20,8,0,580,12.0,0.133835349998,12960,50
20,8,0,590,15.0,0.136399692998,13180,51
20,8,0,600,14.0,0.138957319998,13400,52
20,8,0,610,13.0,0.140843342999,13620,53
20,8,0,620,14.0,0.143488674998,13840,54
20,8,0,630,13.0,0.145929758997,14060,55
20,8,0,640,15.0,0.147755732996,14280,56
20,8,0,650,12.0,0.149492027997,14500,57
20,8,0,660,13.0,0.151387927997,14720,58
20,8,0,670,10.0,0.153105259997,14940,59
20,8,0,680,8.0,0.155716219997,15160,60
20,8,0,690,15.0,0.158339032996,15380,61
20,8,0,700,11.0,0.160202537996,15600,62
20,8,0,710,13.0,0.161972808995,15820,63
20,8,0,720,14.0,0.164437596995,16040,64
20,8,0,730,16.0,0.166198780995,16260,65
20,8,0,740,16.0,0.168504753994,16480,66
20,8,0,750,17.0,0.170389986994,16700,67
20,8,0,760,13.0,0.172861095993,16920,68
20,8,0,770,14.0,0.174653094991,17140,69
20,8,0,780,15.0,0.177060598991,17360,70
20,8,0,790,12.0,0.179741089993,17580,71
20,8,0,800,11.0,0.181534668991,17800,72
20,8,0,810,15.0,0.18648162799,18020,73
20,8,0,820,10.0,0.188154712991,18240,74
20,8,0,830,14.0,0.19073209399,18460,75
20,8,0,840,19.0,0.19263510499,18680,76
20,8,0,850,29.0,0.195225521991,18900,77
20,8,0,860,14.0,0.197768531991,19120,78
20,8,0,870,14.0,0.20028783899,19340,79
20,8,0,880,15.0,0.201935639991,19560,80
20,8,0,890,16.0,0.20375371199,19780,81
20,8,0,900,15.0,0.206159635991,20000,82
20,8,0,910,16.0,0.20780388099,20220,83
20,8,0,920,12.0,0.209575730991,20440,84
20,8,0,930,11.0,0.211635581991,20660,85
20,8,0,940,14.0,0.213585209991,20880,86
20,8,0,950,16.0,0.215475578991,21100,87
20,8,0,960,16.0,0.217090985991,21320,88
20,8,0,970,15.0,0.21881345399,21540,89
20,8,0,980,13.0,0.221009599991,21760,90
20,8,0,990,17.0,0.223532461991,21980,91
20,8,0,1000,16.0,0.225450880989,22200,92
20,8,0,1010,14.0,0.22801877999,22420,93
20,8,0,1020,14.0,0.230899962991,22640,94
20,8,0,1030,14.0,0.233317738992,22860,95
20,8,0,1040,17.0,0.235980057991,23080,96
20,8,0,1050,15.0,0.238250871991,23300,97
20,8,0,1060,17.0,0.240548548991,23520,98
20,8,0,1070,15.0,0.242857287991,23740,99
20,8,0,1070,30.0,0.242857287991,23740,optimal
20,8,1,0,8.0,0.00300049100042,200,0
20,8,1,10,11.0,0.00574103299914,420,0
20,8,1,20,10.0,0.00833658699958,640,0
20,8,1,30,10.0,0.0103063629995,860,1
20,8,1,40,15.0,0.0121402379991,1080,2
20,8,1,50,17.0,0.013996630998,1300,0
20,8,1,60,17.0,0.0157388519983,1520,0
20,8,1,70,17.0,0.0181858619981,1740,1
20,8,1,80,16.0,0.0200213169992,1960,2
20,8,1,90,17.0,0.021904575,2180,3
20,8,1,100,20.0,0.0245032889998,2400,4
20,8,1,110,14.0,0.0270482739998,2620,0
20,8,1,120,14.0,0.029210445,2840,1
20,8,1,130,13.0,0.0316250609994,3060,2
20,8,1,140,12.0,0.0360671319995,3280,3
20,8,1,150,12.0,0.0383051549998,3500,4
20,8,1,160,16.0,0.0409508810008,3720,5
20,8,1,170,12.0,0.0431411010013,3940,6
20,8,1,180,15.0,0.0455758640001,4160,7
20,8,1,190,14.0,0.0475104799989,4380,8
20,8,1,200,14.0,0.0493641079993,4600,9
20,8,1,210,14.0,0.0520240570004,4820,10
20,8,1,220,12.0,0.0546369929998,5040,11
20,8,1,230,11.0,0.0565020779995,5260,12
20,8,1,240,13.0,0.0582510149998,5480,13
20,8,1,250,13.0,0.0608627660004,5700,14
20,8,1,260,13.0,0.0633951100008,5920,15
20,8,1,270,15.0,0.0660025160014,6140,16
20,8,1,280,19.0,0.0715657710025,6360,17
20,8,1,290,16.0,0.0738413250019,6580,18
20,8,1,300,15.0,0.0760244350022,6800,19
20,8,1,310,12.0,0.0779377180024,7020,20
20,8,1,320,12.0,0.0801713950023,7240,21
20,8,1,330,13.0,0.0820645290023,7460,22
20,8,1,340,14.0,0.0839122310026,7680,23
20,8,1,350,15.0,0.086469464004,7900,24
20,8,1,360,14.0,0.0890187960049,8120,25
20,8,1,370,15.0,0.0909842270048,8340,26
20,8,1,380,16.0,0.0929543980055,8560,27
20,8,1,390,12.0,0.0948925690063,8780,28
20,8,1,400,15.0,0.097976814006,9000,29
20,8,1,410,18.0,0.0999130100063,9220,30
20,8,1,420,9.0,0.102706490006,9440,31
20,8,1,430,20.0,0.104651377005,9660,32
20,8,1,440,8.0,0.106575326006,9880,33
20,8,1,450,9.0,0.109048015005,10100,34
20,8,1,460,11.0,0.111213741005,10320,35
20,8,1,470,14.0,0.113649690005,10540,36
20,8,1,480,14.0,0.115424701005,10760,37
20,8,1,490,15.0,0.117872106006,10980,38
20,8,1,500,15.0,0.119816599006,11200,39
20,8,1,510,13.0,0.122358424007,11420,40
20,8,1,520,13.0,0.124213237008,11640,41
20,8,1,530,15.0,0.126904000008,11860,42
20,8,1,540,16.0,0.128860739007,12080,43
20,8,1,550,16.0,0.131420342006,12300,44
20,8,1,560,14.0,0.133102909005,12520,45
20,8,1,570,19.0,0.134866859005,12740,46
20,8,1,580,17.0,0.136594462007,12960,47
20,8,1,590,20.0,0.138495892008,13180,48
20,8,1,600,14.0,0.140300137007,13400,49
20,8,1,610,13.0,0.142537765008,13620,50
20,8,1,620,15.0,0.14505628101,13840,51
20,8,1,630,16.0,0.146988921009,14060,52
20,8,1,640,16.0,0.148611043009,14280,53
20,8,1,650,15.0,0.150330745008,14500,54
20,8,1,660,16.0,0.152034645009,14720,55
20,8,1,670,16.0,0.153777656009,14940,56
20,8,1,680,11.0,0.155523037009,15160,57
20,8,1,690,14.0,0.157124616009,15380,58
20,8,1,700,12.0,0.159570442011,15600,59
20,8,1,710,14.0,0.162150983011,15820,60
20,8,1,720,12.0,0.164185944011,16040,61
20,8,1,730,12.0,0.166664165012,16260,62
20,8,1,740,13.0,0.177885884012,16480,63
20,8,1,750,12.0,0.180695165012,16700,64
20,8,1,760,14.0,0.183407262011,16920,65
20,8,1,770,16.0,0.185666223011,17140,66
20,8,1,780,13.0,0.188243209011,17360,67
20,8,1,790,10.0,0.191312441011,17580,68
20,8,1,800,14.0,0.19361288401,17800,69
20,8,1,810,14.0,0.19955026201,18020,70
20,8,1,820,18.0,0.20140547001,18240,71
20,8,1,830,17.0,0.20397890001,18460,72
20,8,1,840,13.0,0.206406948009,18680,73
20,8,1,850,17.0,0.208256230009,18900,74
20,8,1,860,16.0,0.21030027801,19120,75
20,8,1,870,17.0,0.212937313008,19340,76
20,8,1,880,12.0,0.214869953008,19560,77
20,8,1,890,18.0,0.217299976008,19780,78
20,8,1,900,15.0,0.219801110008,20000,79
20,8,1,910,15.0,0.222112219008,20220,80
20,8,1,920,20.0,0.223964267008,20440,81
20,8,1,930,17.0,0.225527525008,20660,82
20,8,1,940,18.0,0.227571177009,20880,83
20,8,1,950,18.0,0.229485250009,21100,84
20,8,1,960,18.0,0.231822434009,21320,85
20,8,1,970,15.0,0.234368210009,21540,86
20,8,1,980,15.0,0.236455319009,21760,87
20,8,1,990,20.0,0.238168305008,21980,88
20,8,1,1000,16.0,0.239936995007,22200,89
20,8,1,1010,13.0,0.241748352008,22420,90
20,8,1,1020,11.0,0.244095412007,22640,91
20,8,1,1030,12.0,0.246620644006,22860,92
20,8,1,1040,9.0,0.249493531006,23080,93
20,8,1,1050,9.0,0.252061430007,23300,94
20,8,1,1060,11.0,0.254426662006,23520,95
20,8,1,1070,11.0,0.267573515006,23740,96
20,8,1,1080,9.0,0.270453513007,23960,97
20,8,1,1090,12.0,0.274478794006,24180,98
20,8,1,1100,16.0,0.277321656007,24400,99
