N,T,trial,iterations,fitness,time,fevals
20,8,0,0,4.0,0.000510024,11,0
20,8,0,10,8.0,0.000677135,21,0
20,8,0,20,8.0,0.000892048,31,0
20,8,0,30,11.0,0.00107022,41,1
20,8,0,40,11.0,0.001278417,51,0
20,8,0,50,12.0,0.001405232,61,1
20,8,0,60,12.0,0.001655701,71,0
20,8,0,70,12.0,0.001986367,81,1
20,8,0,80,14.0,0.002255404,91,2
20,8,0,90,14.0,0.002495997,101,0
20,8,0,100,14.0,0.002760293,111,1
20,8,0,110,14.0,0.003092144,121,2
20,8,0,120,18.0,0.003300342,131,3
20,8,0,130,18.0,0.00351328,141,0
20,8,0,140,18.0,0.003698563,151,1
20,8,0,150,18.0,0.004937476,161,2
20,8,0,160,18.0,0.00518913,171,3
20,8,0,170,20.0,0.005296192,181,4
20,8,0,180,20.0,0.005688488,191,0
20,8,0,190,20.0,0.005873376,201,1
20,8,0,200,20.0,0.005986364,211,2
20,8,0,210,20.0,0.006153475,221,3
20,8,0,220,20.0,0.006328882,231,4
20,8,0,230,20.0,0.006724339,241,5
20,8,0,240,20.0,0.006819154,251,6
20,8,0,250,20.0,0.007004438,261,7
20,8,0,260,20.0,0.007270315,271,8
20,8,0,270,20.0,0.007450858,281,9
20,8,0,280,20.0,0.007838413,291,10
20,8,0,290,20.0,0.008028042,301,11
20,8,0,300,20.0,0.008252042,311,12
20,8,0,310,20.0,0.008487893,321,13
20,8,0,320,20.0,0.008631695,331,14
20,8,0,330,20.0,0.008871497,341,15
20,8,0,340,20.0,0.009005423,351,16
20,8,0,350,20.0,0.00918162,361,17
20,8,0,360,20.0,0.00934478,371,18
20,8,0,370,20.0,0.009455792,381,19
20,8,0,380,20.0,0.009690064,391,20
20,8,0,390,20.0,0.009887199,401,21
20,8,0,400,20.0,0.009972137,411,22
20,8,0,410,20.0,0.010109619,421,23
20,8,0,420,20.0,0.010204434,431,24
20,8,0,430,20.0,0.010291743,441,25
20,8,0,440,20.0,0.010432385,451,26
20,8,0,450,20.0,0.010763842,461,27
20,8,0,460,20.0,0.010896977,471,28
20,8,0,470,20.0,0.011020236,481,29
20,8,0,480,20.0,0.011151001,491,30
20,8,0,490,20.0,0.011383297,501,31
20,8,0,500,20.0,0.011491149,511,32
20,8,0,510,20.0,0.011602951,521,33
20,8,0,520,20.0,0.011684729,531,34
20,8,0,530,20.0,0.011825371,541,35
20,8,0,540,20.0,0.011921766,551,36
20,8,0,550,20.0,0.012013421,561,37
20,8,0,560,20.0,0.012173816,571,38
20,8,0,570,20.0,0.012255199,581,39
20,8,0,580,20.0,0.012423495,591,40
20,8,0,590,20.0,0.012568088,601,41
20,8,0,600,20.0,0.012749816,611,42
20,8,0,610,20.0,0.012850952,621,43
20,8,0,620,20.0,0.012978557,631,44
20,8,0,630,20.0,0.013087989,641,45
20,8,0,640,20.0,0.013230211,651,46
20,8,0,650,20.0,0.013368877,661,47
20,8,0,660,20.0,0.013543099,671,48
20,8,0,670,20.0,0.013669124,681,49
20,8,0,680,20.0,0.013751692,691,50
20,8,0,690,20.0,0.013868235,701,51
20,8,0,700,20.0,0.013957914,711,52
20,8,0,710,20.0,0.014042457,721,53
20,8,0,720,20.0,0.014149519,731,54
20,8,0,730,20.0,0.014238803,741,55
20,8,0,740,20.0,0.014324531,751,56
20,8,0,750,20.0,0.014426061,761,57
20,8,0,760,20.0,0.014529567,771,58
20,8,0,770,20.0,0.014597517,781,59
20,8,0,780,20.0,0.014676135,791,60
20,8,0,790,20.0,0.014794258,801,61
20,8,0,800,20.0,0.01490448,811,62
20,8,0,810,20.0,0.015021813,821,63
20,8,0,820,20.0,0.015149023,831,64
20,8,0,830,20.0,0.015205122,841,65
20,8,0,840,20.0,0.01525174,851,66
20,8,0,850,20.0,0.015294802,861,67
20,8,0,860,20.0,0.015355642,871,68
20,8,0,870,20.0,0.015412926,881,69
20,8,0,880,20.0,0.015512086,891,70
20,8,0,890,20.0,0.015577272,901,71
20,8,0,900,20.0,0.015626259,911,72
20,8,0,910,20.0,0.015721864,921,73
20,8,0,920,20.0,0.015866062,931,74
20,8,0,930,20.0,0.016013025,941,75
20,8,0,940,20.0,0.016136679,951,76
20,8,0,950,20.0,0.016222408,961,77
20,8,0,960,20.0,0.016301025,971,78
20,8,0,970,20.0,0.016381618,981,79
20,8,0,980,20.0,0.016429026,991,80
20,8,0,990,20.0,0.016495792,1001,81
20,8,0,1000,20.0,0.016539249,1011,82
20,8,0,1010,20.0,0.016591792,1021,83
