N,trial,iterations,fitness,time,fevals
20,0,0,14.0,5.80739999805e-05,127,0
20,0,10,16.0,0.000157630000103,227,0
20,0,20,16.0,0.00025560500012,331,0
20,0,30,18.0,0.000329877000013,430,1
20,0,40,16.0,0.000407704000054,540,0
20,0,50,16.0,0.000485532000084,642,1
20,0,60,16.0,0.000557827999955,753,2
20,0,70,16.0,0.000638024999944,860,3
20,0,80,16.0,0.000754568000048,966,4
20,0,90,16.0,0.000868346000061,1069,5
20,0,100,16.0,0.000929974999963,1171,6
20,0,110,16.0,0.00100108600009,1273,7
20,0,120,14.0,0.00108839400013,1378,8
20,0,130,16.0,0.00116898600004,1487,9
20,0,140,16.0,0.00124641799994,1595,10
20,0,150,16.0,0.00134123199996,1700,11
20,0,160,16.0,0.00142340499997,1802,12
20,0,170,16.0,0.00150755300001,1909,13
20,0,180,16.0,0.00159802200005,2019,14
20,0,190,16.0,0.00170468800002,2121,15
20,0,200,16.0,0.00180108299992,2226,16
20,0,210,15.0,0.00187693499993,2327,17
20,0,220,16.0,0.00197688599997,2431,18
20,0,230,18.0,0.00205076199995,2531,19
20,0,240,16.0,0.00214557699996,2638,20
20,0,250,16.0,0.00224868800001,2752,21
20,0,260,16.0,0.0023304660001,2856,22
20,0,270,15.0,0.00239999600012,2959,23
20,0,280,15.0,0.00249599600011,3065,24
20,0,290,15.0,0.00259594700015,3170,25
20,0,300,15.0,0.00269471199999,3279,26
20,0,310,16.0,0.00279347699984,3382,27
20,0,320,16.0,0.00287248899986,3485,28
20,0,330,16.0,0.00295347699966,3585,29
20,0,340,15.0,0.00305500799959,3690,30
20,0,350,15.0,0.00314508199972,3793,31
20,0,360,16.0,0.00326399499954,3899,32
20,0,370,17.0,0.0033955499996,3996,33
20,0,380,18.0,0.00350182099965,4097,34
20,0,390,18.0,0.00360374699949,4200,35
20,0,400,17.0,0.00370014199939,4299,36
20,0,410,16.0,0.00376927699949,4405,37
20,0,420,17.0,0.00385935099962,4508,38
20,0,430,18.0,0.00395574599952,4612,39
