N,trial,iterations,fitness,time,fevals
20,0,0,17.0,0.00143209700036,200,0
20,0,10,17.0,0.00285076200043,420,0
20,0,20,17.0,0.00438202000032,640,1
20,0,30,15.0,0.00568058700037,860,2
20,0,40,15.0,0.00714389400036,1080,3
20,0,50,16.0,0.0114662610004,1300,4
20,0,60,18.0,0.0128485810005,1520,5
20,0,70,18.0,0.0141625560009,1740,0
20,0,80,18.0,0.0155223570009,1960,1
20,0,90,16.0,0.017577467001,2180,2
20,0,100,18.0,0.0190190460012,2400,3
20,0,110,18.0,0.0205297610009,2620,4
20,0,120,18.0,0.021916822001,2840,5
20,0,130,18.0,0.023979043001,3060,6
20,0,140,18.0,0.0260096590009,3280,7
20,0,150,18.0,0.0273177070007,3500,8
20,0,160,18.0,0.0286229890007,3720,9
20,0,170,18.0,0.0298741490005,3940,10
20,0,180,18.0,0.0317194810004,4160,11
20,0,190,18.0,0.0329607640006,4380,12
20,0,200,18.0,0.0344382940002,4600,13
20,0,210,18.0,0.0356625890004,4820,14
20,0,220,18.0,0.0377354760003,5040,15
20,0,230,18.0,0.0396566600002,5260,16
20,0,240,18.0,0.04091019,5480,17
20,0,250,18.0,0.0428740400002,5700,18
20,0,260,18.0,0.0449026800002,5920,19
20,0,270,18.0,0.0461332970003,6140,20
20,0,280,18.0,0.0474456910006,6360,21
20,0,290,18.0,0.0491381340007,6580,22
20,0,300,18.0,0.0506705780003,6800,23
20,0,310,18.0,0.0525068240004,7020,24
20,0,320,18.0,0.0537773420001,7240,25
20,0,330,18.0,0.0557716120002,7460,26
20,0,340,18.0,0.057100598,7680,27
20,0,350,18.0,0.058371906,7900,28
20,0,360,16.0,0.0597305229999,8120,29
20,0,370,18.0,0.0610946699999,8340,30
20,0,380,18.0,0.0624509160002,8560,31
20,0,390,18.0,0.063706421,8780,32
20,0,400,18.0,0.0650038030003,9000,33
20,0,410,18.0,0.0686569360005,9220,34
20,0,420,18.0,0.0698994050003,9440,35
20,0,430,18.0,0.0712094280002,9660,36
20,0,440,18.0,0.0725123410002,9880,37
20,0,450,18.0,0.0745070060007,10100,38
20,0,460,18.0,0.0759367330011,10320,39
20,0,470,18.0,0.0771475970009,10540,40
20,0,480,18.0,0.0784836950011,10760,41
20,0,490,16.0,0.079926065001,10980,42
20,0,500,18.0,0.0813731750009,11200,43
20,0,510,18.0,0.0829336680008,11420,44
20,0,520,16.0,0.0842749020007,11640,45
20,0,530,16.0,0.0863742580009,11860,46
20,0,540,16.0,0.0876870470006,12080,47
20,0,550,16.0,0.0893226010003,12300,48
20,0,560,16.0,0.0908048710003,12520,49
20,0,570,17.0,0.0922116840002,12740,50
20,0,580,15.0,0.0936742009999,12960,51
20,0,590,15.0,0.095042298,13180,52
20,0,600,15.0,0.0963700990001,13400,53
20,0,610,15.0,0.0986247139999,13620,54
20,0,620,15.0,0.10001375,13840,55
20,0,630,15.0,0.102164069,14060,56
20,0,640,15.0,0.104396166,14280,57
20,0,650,15.0,0.105777301,14500,58
20,0,660,15.0,0.107101547,14720,59
20,0,670,15.0,0.108447917,14940,60
20,0,680,17.0,0.110147076,15160,61
20,0,690,17.0,0.111402977,15380,62
20,0,700,17.0,0.113588061,15600,63
20,0,710,15.0,0.115269838,15820,64
20,0,720,16.0,0.116605145,16040,65
20,0,730,16.0,0.118163661999,16260,66
20,0,740,15.0,0.119550723,16480,67
20,0,750,15.0,0.120982820999,16700,68
20,0,760,15.0,0.126201186999,16920,69
20,0,770,15.0,0.128401284,17140,70
20,0,780,18.0,0.130491159,17360,71
20,0,790,15.0,0.131966713,17580,72
20,0,800,15.0,0.133556835,17800,73
20,0,810,15.0,0.135536488,18020,74
20,0,820,15.0,0.13809135,18240,75
20,0,830,15.0,0.140310805,18460,76
20,0,840,15.0,0.142600186,18680,77
20,0,850,15.0,0.144726407,18900,78
20,0,860,15.0,0.146783492,19120,79
20,0,870,17.0,0.149010453,19340,80
20,0,880,17.0,0.150468625,19560,81
20,0,890,17.0,0.151996722,19780,82
20,0,900,17.0,0.153365214,20000,83
20,0,910,17.0,0.155574793,20220,84
20,0,920,17.0,0.15690615,20440,85
20,0,930,17.0,0.161010838,20660,86
20,0,940,17.0,0.162380515,20880,87
20,0,950,17.0,0.163696069,21100,88
20,0,960,17.0,0.16556787,21320,89
20,0,970,17.0,0.166813894,21540,90
20,0,980,17.0,0.168347127,21760,91
20,0,990,17.0,0.169786336,21980,92
20,0,1000,17.0,0.171073446001,22200,93
20,0,1010,17.0,0.172382284,22420,94
20,0,1020,17.0,0.175797194,22640,95
20,0,1030,17.0,0.177129341,22860,96
20,0,1040,17.0,0.178492698,23080,97
20,0,1050,17.0,0.179749783,23300,98
20,0,1060,17.0,0.181092991,23520,99
20,0,1060,18.0,0.181092991,23520,optimal
20,1,0,16.0,0.00238024500004,200,0
20,1,10,16.0,0.00381352800014,420,0
20,1,20,14.0,0.00523258800013,640,1
20,1,30,14.0,0.00662715500039,860,2
20,1,40,14.0,0.00797550000061,1080,3
20,1,50,16.0,0.0095624620003,1300,4
20,1,60,15.0,0.0115883370004,1520,5
20,1,70,14.0,0.0129449780006,1740,6
20,1,80,14.0,0.0142968790005,1960,7
20,1,90,14.0,0.0157479390004,2180,8
20,1,100,15.0,0.0173617650003,2400,9
20,1,110,14.0,0.0187792450006,2620,10
20,1,120,16.0,0.0202453180009,2840,11
20,1,130,16.0,0.0215893170011,3060,12
20,1,140,16.0,0.023622303001,3280,13
20,1,150,16.0,0.0251184000012,3500,14
20,1,160,16.0,0.027008769001,3720,15
20,1,170,16.0,0.0282848170009,3940,16
20,1,180,16.0,0.0302502470008,4160,17
20,1,190,16.0,0.0317811100008,4380,18
20,1,200,16.0,0.0340412560008,4600,19
20,1,210,15.0,0.0367012050006,4820,20
20,1,220,16.0,0.0381621420006,5040,21
20,1,230,15.0,0.0404633750004,5260,22
20,1,240,15.0,0.0418460900005,5480,23
20,1,250,17.0,0.0434358170005,5700,24
20,1,260,18.0,0.0448750260007,5920,0
20,1,270,17.0,0.0463225310009,6140,0
20,1,280,17.0,0.047688259001,6360,1
20,1,290,17.0,0.049018826001,6580,2
20,1,300,17.0,0.050380602001,6800,3
20,1,310,17.0,0.0516590210009,7020,4
20,1,320,17.0,0.0528939830006,7240,5
20,1,330,17.0,0.0548033140008,7460,6
20,1,340,19.0,0.0567612380009,7680,7
20,1,350,19.0,0.058529928001,7900,0
20,1,360,19.0,0.0605024700012,8120,1
20,1,370,19.0,0.0624738260012,8340,2
20,1,380,19.0,0.0640596030012,8560,3
20,1,390,19.0,0.0653791080013,8780,4
20,1,400,19.0,0.0669573790015,9000,5
20,1,410,19.0,0.0682160450015,9220,6
20,1,420,19.0,0.0697362410015,9440,7
20,1,430,19.0,0.0712702640012,9660,8
20,1,440,19.0,0.0726944610014,9880,9
