N,trial,iterations,fitness,time,fevals
20,0,0,15.0,0.000144964,11,0
20,0,10,15.0,0.000235952,21,0
20,0,20,15.0,0.000409703,31,1
20,0,30,15.0,0.000489896,41,2
20,0,40,17.0,0.000586025,51,3
20,0,50,17.0,0.000703744,61,0
20,0,60,17.0,0.000820435,71,1
20,0,70,17.0,0.000936612,81,2
20,0,80,17.0,0.001028628,91,3
20,0,90,17.0,0.001137608,101,4
20,0,100,17.0,0.001257383,111,5
20,0,110,17.0,0.001363279,121,6
20,0,120,17.0,0.001452725,131,7
20,0,130,17.0,0.001518524,141,8
20,0,140,17.0,0.001584323,151,9
20,0,150,17.0,0.001945705,161,10
20,0,160,17.0,0.002040806,171,11
20,0,170,17.0,0.002116886,181,12
20,0,180,17.0,0.002199649,191,13
20,0,190,17.0,0.002276244,201,14
20,0,200,17.0,0.00232765,211,15
20,0,210,17.0,0.00240116,221,16
20,0,220,17.0,0.00245822,231,17
20,0,230,17.0,0.002520935,241,18
20,0,240,17.0,0.002585707,251,19
20,0,250,17.0,0.002649964,261,20
20,0,260,17.0,0.002716278,271,21
20,0,270,17.0,0.002757916,281,22
20,0,280,17.0,0.002797498,291,23
20,0,290,17.0,0.002863298,301,24
20,0,300,17.0,0.002944005,311,25
20,0,310,17.0,0.002997981,321,26
20,0,320,17.0,0.003048873,331,27
20,0,330,17.0,0.003112616,341,28
20,0,340,17.0,0.003169676,351,29
20,0,350,17.0,0.003219026,361,30
20,0,360,17.0,0.003304873,371,31
20,0,370,17.0,0.003350624,381,32
20,0,380,17.0,0.003439042,391,33
20,0,390,17.0,0.003526946,401,34
20,0,400,17.0,0.00356807,411,35
20,0,410,17.0,0.003613821,421,36
20,0,420,17.0,0.00365546,431,37
20,0,430,17.0,0.003694528,441,38
20,0,440,17.0,0.00373154,451,39
20,0,450,17.0,0.003771122,461,40
20,0,460,17.0,0.003814303,471,41
20,0,470,17.0,0.00385697,481,42
20,0,480,17.0,0.003978801,491,43
20,0,490,17.0,0.004029178,501,44
20,0,500,17.0,0.004069275,511,45
20,0,510,17.0,0.004128391,521,46
20,0,520,17.0,0.004168487,531,47
20,0,530,17.0,0.004211668,541,48
20,0,540,17.0,0.00426256,551,49
20,0,550,17.0,0.004310881,561,50
20,0,560,17.0,0.004359203,571,51
20,0,570,17.0,0.004393131,581,52
20,0,580,17.0,0.004429115,591,53
20,0,590,17.0,0.004469211,601,54
20,0,600,17.0,0.004516504,611,55
20,0,610,17.0,0.004555058,621,56
20,0,620,17.0,0.004590528,631,57
20,0,630,17.0,0.004633709,641,58
20,0,640,17.0,0.004668665,651,59
20,0,650,17.0,0.004703621,661,60
20,0,660,17.0,0.004741661,671,61
20,0,670,17.0,0.004779188,681,62
20,0,680,17.0,0.00483008,691,63
20,0,690,17.0,0.004863494,701,64
20,0,700,17.0,0.004897422,711,65
20,0,710,17.0,0.004935976,721,66
20,0,720,17.0,0.004989438,731,67
20,0,730,17.0,0.005041358,741,68
20,0,740,17.0,0.005074771,751,69
20,0,750,17.0,0.005108699,761,70
20,0,760,17.0,0.005233615,771,71
20,0,770,17.0,0.005276281,781,72
20,0,780,17.0,0.005310723,791,73
20,0,790,17.0,0.005363157,801,74
20,0,800,17.0,0.005409936,811,75
20,0,810,17.0,0.005438209,821,76
20,0,820,17.0,0.005471109,831,77
20,0,830,17.0,0.005506065,841,78
20,0,840,17.0,0.005556443,851,79
20,0,850,17.0,0.005598596,861,80
20,0,860,17.0,0.005660797,871,81
20,0,870,17.0,0.005698837,881,82
20,0,880,17.0,0.005771833,891,83
20,0,890,17.0,0.00585254,901,84
20,0,900,17.0,0.005888524,911,85
20,0,910,17.0,0.005920909,921,86
20,0,920,17.0,0.006012411,931,87
20,0,930,17.0,0.006067415,941,88
20,0,940,17.0,0.006102885,951,89
20,0,950,17.0,0.006128587,961,90
20,0,960,17.0,0.006164571,971,91
20,0,970,17.0,0.006187704,981,92
20,0,980,17.0,0.006221118,991,93
20,0,990,17.0,0.006253504,1001,94
20,0,1000,17.0,0.006292058,1011,95
20,0,1010,17.0,0.006317761,1021,96
20,0,1020,17.0,0.006372765,1031,97
20,0,1030,17.0,0.006401038,1041,98
20,0,1040,17.0,0.006430853,1051,99
20,0,1040,17.0,0.006430853,1051,optimal
20,1,0,8.0,3.8554e-05,11,0
20,1,10,10.0,8.1221e-05,21,0
20,1,20,10.0,0.000109494,31,0
20,1,30,13.0,0.000153189,41,1
20,1,40,13.0,0.000183005,51,0
20,1,50,15.0,0.000232355,61,1
20,1,60,15.0,0.000262684,71,0
20,1,70,15.0,0.000310491,81,1
20,1,80,15.0,0.000372178,91,2
20,1,90,15.0,0.000428724,101,3
20,1,100,15.0,0.000456997,111,4
20,1,110,15.0,0.000519198,121,5
20,1,120,15.0,0.000565977,131,6
