N,trial,iterations,fitness,time,fevals
20,0,0,11.0,1.30370001443e-05,11,0
20,0,10,13.0,3.67410002582e-05,21,0
20,0,20,16.0,0.000117728000077,31,0
20,0,30,12.0,0.000209382000094,41,0
20,0,40,10.0,0.000236246000213,51,1
20,0,50,8.0,0.00027614700025,61,2
20,0,60,9.0,0.000303406000285,71,3
20,0,70,9.0,0.000329480000119,81,4
20,0,80,11.0,0.000357134000296,91,5
20,0,90,11.0,0.000396245000275,101,6
20,0,100,13.0,0.000419554000246,111,7
20,0,110,15.0,0.000453925000102,121,8
20,0,120,15.0,0.000505678000081,131,9
20,0,130,15.0,0.000567703000115,141,10
20,0,140,15.0,0.000639209000155,151,11
20,0,150,15.0,0.000718616000313,161,12
20,0,160,15.0,0.000775900000463,171,13
20,0,170,15.0,0.000815011000441,181,14
20,0,180,15.0,0.000853332000588,191,15
20,0,190,15.0,0.000886912000396,201,16
20,0,200,15.0,0.00092918300038,211,17
20,0,210,15.0,0.000977776000354,221,18
20,0,220,15.0,0.00101609700027,231,19
20,0,230,17.0,0.00104849200011,241,20
20,0,240,19.0,0.001103801,251,0
20,0,250,19.0,0.00112948000015,261,0
20,0,260,19.0,0.00116424600014,271,1
20,0,270,19.0,0.00121244300021,281,2
20,0,280,19.0,0.00129777600023,291,3
20,0,290,19.0,0.00132701100028,301,4
20,0,300,19.0,0.00136138100038,311,5
20,0,310,19.0,0.00140286300029,321,6
20,0,320,19.0,0.0014439490003,331,7
20,0,330,19.0,0.00149175100046,341,8
20,0,340,19.0,0.00153007200038,351,9
20,0,350,19.0,0.00157273900049,361,10
20,0,360,19.0,0.0016011830005,371,11
20,0,370,19.0,0.00163081300047,381,12
20,0,380,19.0,0.00170784900047,391,13
20,0,390,19.0,0.00175644200044,401,14
20,0,400,19.0,0.00178686100048,411,15
20,0,410,19.0,0.00182241700054,421,16
20,0,420,19.0,0.00185560300065,431,17
20,0,430,19.0,0.00188641800059,441,18
20,0,440,19.0,0.00191960300049,451,19
20,0,450,19.0,0.00195871400069,461,20
20,0,460,19.0,0.00199466400068,471,21
20,0,470,19.0,0.00204523200068,481,22
20,0,480,19.0,0.00208394800075,491,23
20,0,490,19.0,0.00212859000067,501,24
20,0,500,19.0,0.00214992300062,511,25
20,0,510,19.0,0.00218745300049,521,26
20,0,520,19.0,0.00221787200053,531,27
20,0,530,19.0,0.00230794600043,541,28
20,0,540,19.0,0.00234982200027,551,29
20,0,550,19.0,0.00245332800023,561,30
20,0,560,19.0,0.00248453800009,571,31
20,0,570,19.0,0.00253471099995,581,32
20,0,580,19.0,0.00256078500001,591,33
20,0,590,19.0,0.00259555100001,601,34
20,0,600,19.0,0.00262834099999,611,35
20,0,610,19.0,0.00268325399998,621,36
20,0,620,19.0,0.00273382199998,631,37
20,0,630,19.0,0.00277490799999,641,38
20,0,640,19.0,0.00281046400005,651,39
20,0,650,19.0,0.00284483500013,661,40
20,0,660,19.0,0.00287881000008,671,41
20,0,670,19.0,0.00292503200012,681,42
20,0,680,19.0,0.00296572300022,691,43
20,0,690,19.0,0.00301471100033,701,44
20,0,700,19.0,0.00304868700027,711,45
20,0,710,19.0,0.00308503300016,721,46
20,0,720,19.0,0.00317036600018,731,47
20,0,730,19.0,0.00319486000012,741,48
20,0,740,19.0,0.0032292310002,751,49
20,0,750,19.0,0.00326439200012,761,50
20,0,760,19.0,0.0033477500001,771,51
20,0,770,19.0,0.00339476299996,781,52
20,0,780,19.0,0.00343624399989,791,53
20,0,790,19.0,0.00353935599992,801,54
20,0,800,19.0,0.00358636799979,811,55
20,0,810,19.0,0.00362547899977,821,56
20,0,820,19.0,0.00366024399978,831,57
20,0,830,19.0,0.00370765199978,841,58
20,0,840,19.0,0.00375663899968,851,59
20,0,850,19.0,0.00378034299956,861,60
20,0,860,19.0,0.00381313299954,871,61
20,0,870,19.0,0.00385105899954,881,62
20,0,880,19.0,0.00389056499967,891,63
20,0,890,19.0,0.00393797199968,901,64
20,0,900,19.0,0.00397747799957,911,65
20,0,910,19.0,0.00402409499975,921,66
20,0,920,19.0,0.00409243999979,931,67
20,0,930,19.0,0.00414498299961,941,68
20,0,940,19.0,0.00418369899944,951,69
20,0,950,19.0,0.00422794599945,961,70
20,0,960,19.0,0.00427061199935,971,71
20,0,970,19.0,0.00430340199932,981,72
20,0,980,19.0,0.00433461199918,991,73
20,0,990,19.0,0.00436463599931,1001,74
20,0,1000,19.0,0.00440177099927,1011,75
20,0,1010,19.0,0.00449065899943,1021,76
20,0,1020,19.0,0.00455821399942,1031,77
20,0,1030,19.0,0.00467238599936,1041,78
20,0,1040,19.0,0.00472769499925,1051,79
20,0,1050,19.0,0.00476167099941,1061,80
20,0,1060,19.0,0.00479248599959,1071,81
20,0,1070,19.0,0.00483712799951,1081,82
20,0,1080,19.0,0.00487584399957,1091,83
20,0,1090,19.0,0.00496710399966,1101,84
20,0,1100,19.0,0.00499238799966,1111,85
20,0,1110,19.0,0.00503861099946,1121,86
20,0,1120,19.0,0.00507969699947,1131,87
20,0,1130,19.0,0.00517253699945,1141,88
20,0,1140,19.0,0.00526537599944,1151,89
20,0,1150,19.0,0.00531041299951,1161,90
20,0,1160,19.0,0.00534675899962,1171,91
20,0,1170,19.0,0.00538626499952,1181,92
20,0,1180,19.0,0.00542577099964,1191,93
20,0,1190,19.0,0.00546014099973,1201,94
20,0,1200,19.0,0.00555218999989,1211,95
20,0,1210,19.0,0.00558893099992,1221,96
20,0,1220,19.0,0.00562053599992,1231,97
20,0,1230,19.0,0.00565451199986,1241,98
20,0,1240,19.0,0.00569085699999,1251,99
20,0,1240,19.0,0.00569085699999,1251,optimal
20,1,0,6.0,4.50369998362e-05,11,0
20,1,10,4.0,7.9802999835e-05,21,0
20,1,20,12.0,0.000164740999935,31,1
20,1,30,11.0,0.000196741000082,41,0
20,1,40,13.0,0.000227556000027,51,1
20,1,50,7.0,0.000263507,61,0
20,1,60,7.0,0.000286420999828,71,1
20,1,70,11.0,0.000366618999806,81,2
20,1,80,14.0,0.00039664399992,91,3
20,1,90,14.0,0.000476446999983,101,0
20,1,100,15.0,0.00050647199987,111,1
20,1,110,15.0,0.00053412599982,121,0
20,1,120,15.0,0.000592199999801,131,1
20,1,130,15.0,0.000622224999915,141,2
20,1,140,17.0,0.00066015099992,151,3
20,1,150,17.0,0.000700051999729,161,0
20,1,160,17.0,0.000727705999907,171,1
20,1,170,17.0,0.00077432299986,181,2
20,1,180,17.0,0.000813433999838,191,3
20,1,190,17.0,0.000854124999933,201,4
20,1,200,17.0,0.000889286000074,211,5
20,1,210,17.0,0.000916940000025,221,6
20,1,220,17.0,0.000939853000091,231,7
20,1,230,17.0,0.000971062999952,241,8
20,1,240,17.0,0.00101728499999,251,9
20,1,250,17.0,0.00105086500002,261,10
20,1,260,17.0,0.00108760600006,271,11
20,1,270,17.0,0.00111921100006,281,12
20,1,280,17.0,0.00115121100021,291,13
20,1,290,17.0,0.0011843960001,301,14
20,1,300,17.0,0.00121679099993,311,15
20,1,310,17.0,0.00128474099984,321,16
20,1,320,17.0,0.00130725999975,331,17
20,1,330,17.0,0.00134676599964,341,18
20,1,340,17.0,0.00139772899979,351,19
20,1,350,17.0,0.00143525999988,361,20
20,1,360,17.0,0.00146330999996,371,21
20,1,370,17.0,0.00151229799985,381,22
20,1,380,17.0,0.00155338399986,391,23
20,1,390,17.0,0.00158340899975,401,24
20,1,400,17.0,0.00161264399981,411,25
20,1,410,17.0,0.00164069299967,421,26
20,1,420,17.0,0.00168612499965,431,27
20,1,430,17.0,0.00171970499969,441,28
20,1,440,17.0,0.00175170499961,451,29
20,1,450,17.0,0.00180582899975,461,30
20,1,460,17.0,0.00182913799972,471,31
20,1,470,17.0,0.00185955799952,481,32
20,1,480,17.0,0.00188997799955,491,33
20,1,490,17.0,0.00199229899954,501,34
20,1,500,17.0,0.00203575599971,511,35
20,1,510,17.0,0.00208948499971,521,36
20,1,520,17.0,0.00212820099955,531,37
20,1,530,17.0,0.00216652199947,541,38
20,1,540,17.0,0.00220168199962,551,39
20,1,550,17.0,0.00223368199954,561,40
20,1,560,17.0,0.00226489099941,571,41
20,1,570,17.0,0.00230281699942,581,42
