iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.381044315838,0.385503609975,0.386841977573,0.339,0.346,0.324666666667,0.096543896
100,0.398376461697,0.402972260378,0.397363158415,0.257,0.22,0.250666666667,11.990397945
200,0.393741627457,0.398725874029,0.391438921252,0.297,0.294,0.307333333333,23.985866029
300,0.403559002151,0.407819495199,0.404061120905,0.221666666667,0.2,0.226,35.912851519
400,0.384950759688,0.387600933114,0.385197340138,0.248,0.218,0.247333333333,47.842956303
500,0.369642829719,0.371921625999,0.371763978316,0.321,0.314,0.332666666667,59.585307657
600,0.345859042938,0.34527004298,0.347834785427,0.402333333333,0.404,0.405333333333,72.319755906
700,0.35382055048,0.354429997372,0.357376666312,0.406333333333,0.41,0.395333333333,84.168160684
800,0.346619206589,0.345543985958,0.347103301327,0.402333333333,0.402,0.411333333333,95.776190663
900,0.350929061074,0.349296083877,0.352246835004,0.398,0.414,0.407333333333,107.244834764
1000,0.348828172088,0.34686634044,0.351371504261,0.398666666667,0.406,0.406666666667,118.801982921
1100,0.336535598807,0.331522941348,0.339494541985,0.382333333333,0.392,0.392,130.37437902
1200,0.341777843024,0.338367500453,0.344720882921,0.374333333333,0.384,0.397333333333,141.935819035
1300,0.325148244313,0.330340258763,0.327121360455,0.436333333333,0.41,0.445333333333,153.727140945
1400,0.33513297776,0.338660920849,0.339620163401,0.428666666667,0.4,0.436,165.379796668
1500,0.317858302561,0.319729796982,0.321492418029,0.454333333333,0.428,0.456666666667,176.991594676
1600,0.316110160319,0.316542021838,0.322112388216,0.501666666667,0.474,0.488,188.581744219
1700,0.306169423927,0.305550929414,0.315113970256,0.492,0.492,0.471333333333,200.205388133
1800,0.311441595753,0.309780187527,0.320735181133,0.499666666667,0.52,0.472666666667,211.801125986
1900,0.320880935207,0.317493283554,0.330104048416,0.482333333333,0.49,0.470666666667,223.562249656
2000,0.311216467818,0.309334654066,0.318211141941,0.492666666667,0.508,0.483333333333,235.280713839
2100,0.30242719274,0.299005765871,0.306975477899,0.492333333333,0.504,0.483333333333,246.943502114
2200,0.303740549272,0.300213925661,0.307006035526,0.494333333333,0.508,0.478666666667,258.330576782
2300,0.294758478728,0.294252183631,0.29770318364,0.497333333333,0.514,0.481333333333,269.73065913
2400,0.299669505525,0.303237413593,0.30285312358,0.471,0.456,0.466666666667,280.707822181
2500,0.299599145851,0.29944176801,0.304713500722,0.392,0.396,0.396,292.231198384
2600,0.298821803306,0.304347010292,0.302260910127,0.463333333333,0.462,0.467333333333,303.632941658
2700,0.301906761748,0.307594327928,0.310858986875,0.446333333333,0.426,0.441333333333,314.838984178
2800,0.299659616355,0.304116723962,0.304308281302,0.447666666667,0.452,0.442,326.218292488
2900,0.298535567571,0.304097272031,0.304196873842,0.465333333333,0.444,0.452666666667,337.358458695
3000,0.290057108752,0.298558167131,0.296041052144,0.486333333333,0.44,0.482,348.866628587
3100,0.294422974015,0.297955562587,0.297780062295,0.472,0.438,0.475333333333,360.204900808
3200,0.29795300119,0.298578455438,0.304167211165,0.526666666667,0.522,0.511333333333,371.563187295
3300,0.292776589385,0.292417343457,0.298460103382,0.506333333333,0.49,0.494,383.144038083
3400,0.28888374091,0.292493692581,0.293677177768,0.508666666667,0.482,0.502666666667,394.611759969
3500,0.289700171774,0.292318049531,0.29442821442,0.498333333333,0.48,0.496,406.270123772
3600,0.303117866623,0.30458093186,0.308360992236,0.467,0.46,0.463333333333,418.031229965
3700,0.292579707781,0.29706123374,0.296709334976,0.480666666667,0.462,0.482,429.652711767
3800,0.292119250526,0.29728406486,0.296957895044,0.471333333333,0.45,0.467333333333,441.356987474
3900,0.305378987379,0.312001289402,0.30956203806,0.484666666667,0.464,0.469333333333,453.413718218
4000,0.304528708062,0.308309034162,0.309361820701,0.485333333333,0.458,0.482,464.898204001
4100,0.293726330792,0.291976392062,0.2994761191,0.527,0.526,0.511333333333,476.46584045
4200,0.297425014884,0.296476094004,0.303710274004,0.516666666667,0.514,0.496666666667,488.062553468
4300,0.293551428566,0.291021348232,0.301913043273,0.538333333333,0.536,0.514666666667,500.021452608
4400,0.295984702472,0.295781362282,0.302111857161,0.549333333333,0.558,0.518666666667,512.275630862
4500,0.291826761588,0.288889962272,0.303618974662,0.521,0.522,0.504666666667,523.93954647
4600,0.293545348611,0.288380975067,0.301716193564,0.540666666667,0.55,0.511333333333,535.759985046
4700,0.292022418701,0.289594456392,0.298295242989,0.529666666667,0.542,0.509333333333,547.549776093
4800,0.298549003681,0.297665479223,0.30740315365,0.518,0.518,0.495333333333,559.437637779
4900,0.296523424183,0.292930905532,0.306092629173,0.510333333333,0.52,0.490666666667,571.236679777
5000,0.285121865292,0.281914931786,0.291881178686,0.567666666667,0.55,0.552666666667,582.944022872
5100,0.293180419777,0.291130389687,0.302575073846,0.538333333333,0.528,0.503333333333,594.770642974
5200,0.295106280723,0.29542435393,0.30336143424,0.540333333333,0.554,0.501333333333,607.089464831
5300,0.294793138914,0.294589311056,0.301893731894,0.502666666667,0.532,0.476,620.029619419
5400,0.289800701783,0.294218961326,0.297128474045,0.515333333333,0.496,0.493333333333,632.119903136
5500,0.286968785068,0.290883132495,0.291251284724,0.528,0.512,0.516,643.936766443
5600,0.28143983924,0.287005290126,0.288304978366,0.513333333333,0.502,0.495333333333,655.835169374
5700,0.280719468416,0.285562353543,0.288685401655,0.513333333333,0.498,0.497333333333,667.627727593
5800,0.2790037621,0.285041034517,0.285865710925,0.506,0.498,0.492,679.277829477
5900,0.277352843574,0.284572119369,0.284497342357,0.521,0.49,0.502666666667,691.113470236
6000,0.280449064156,0.286479448792,0.287136441508,0.500666666667,0.498,0.489333333333,702.952917586
6100,0.28112990714,0.284471954915,0.287162944594,0.532,0.51,0.516666666667,714.708790684
6200,0.282691248349,0.286319097841,0.289197033369,0.530333333333,0.496,0.504666666667,726.42325037
6300,0.280539324241,0.286052195474,0.288097419489,0.529666666667,0.494,0.497333333333,738.378623091
6400,0.282598524273,0.285265655511,0.289808610042,0.535333333333,0.522,0.51,750.3688005
6500,0.284823134014,0.288948725779,0.291356814986,0.536,0.522,0.509333333333,762.364803713
6600,0.287442787037,0.293726608602,0.294197727483,0.532666666667,0.512,0.508666666667,774.412191485
6700,0.287158906637,0.292140799781,0.294032763397,0.533,0.51,0.515333333333,786.791242766
6800,0.289738828093,0.297086130585,0.295650141974,0.518666666667,0.474,0.506,799.140066502
6900,0.283772148086,0.289992389797,0.292153301679,0.537666666667,0.522,0.516666666667,811.85885095
7000,0.284912240996,0.291277253774,0.294109067023,0.526,0.49,0.500666666667,824.864190455
7100,0.288627148366,0.289618619415,0.295115712347,0.528,0.512,0.514,837.352594378
7200,0.284635208364,0.289020805229,0.293559802819,0.529666666667,0.504,0.507333333333,849.97892476
7300,0.284283965821,0.290660115709,0.292139226607,0.524666666667,0.478,0.514666666667,862.818641475
7400,0.286830842685,0.297070414077,0.29858103843,0.533,0.476,0.515333333333,876.059476876
7500,0.290000039556,0.298740628702,0.29733195845,0.523,0.494,0.510666666667,888.884686926
7600,0.289859981065,0.300583203573,0.295828572314,0.528,0.48,0.506666666667,901.777698432
7700,0.289933478077,0.301148120638,0.298402065432,0.506333333333,0.484,0.484666666667,914.55010409
