iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.616624099226,0.633344852393,0.621441248418,0.199,0.188,0.198666666667,0.010841449
100,0.394735683396,0.39742725024,0.395305553817,0.373333333333,0.384,0.377333333333,0.414247691
200,0.37277231416,0.375551932091,0.373761588929,0.381333333333,0.392,0.386,0.79700891
300,0.354312263804,0.355340840962,0.354517242619,0.398333333333,0.424,0.394666666667,1.189082259
400,0.330294779978,0.331777021478,0.331667889998,0.42,0.436,0.417333333333,1.58047963
500,0.314894916878,0.315141196374,0.319140495856,0.454333333333,0.474,0.454666666667,1.978261582
600,0.305046407017,0.305854559438,0.313139275179,0.515,0.508,0.491333333333,2.366367966
700,0.300375161335,0.303325572071,0.30784731575,0.511666666667,0.504,0.491333333333,2.753442122
800,0.298266886849,0.300896668101,0.306559621979,0.523666666667,0.52,0.5,3.142313419
900,0.293339109207,0.299090322803,0.301267660907,0.519,0.51,0.495333333333,3.535718693
1000,0.288502829004,0.29073500934,0.296522672948,0.53,0.528,0.506,3.920759245
1100,0.286162244524,0.289540234642,0.293118782161,0.529666666667,0.536,0.51,4.321140261
1200,0.28333335623,0.286225716078,0.293488522089,0.545,0.526,0.517333333333,4.719716424
1300,0.281479282676,0.288019614038,0.289573467702,0.536333333333,0.524,0.524,5.111221744
1400,0.278245863845,0.286406024358,0.289415908063,0.544666666667,0.518,0.525333333333,5.503435948
1500,0.276439237381,0.285946873368,0.287535814216,0.548333333333,0.522,0.518666666667,5.892354028
1600,0.273976966147,0.28418885244,0.286150630314,0.552,0.524,0.524666666667,6.288006243
1700,0.271840403052,0.283142278321,0.285015887248,0.549666666667,0.538,0.528666666667,6.683571061
1800,0.271011666099,0.281467622034,0.284218422797,0.559666666667,0.55,0.536,7.070506426
1900,0.268601506904,0.278526114954,0.283097919128,0.563666666667,0.552,0.536,7.46175215
2000,0.263411340768,0.272388053579,0.279851597655,0.588,0.566,0.548,7.846910931
2100,0.262696705075,0.272930749636,0.278846078583,0.586,0.564,0.552666666667,8.230106023
2200,0.257624874213,0.273912769814,0.272724448849,0.602,0.562,0.566666666667,8.620244465
2300,0.256728640062,0.274975951965,0.273181035505,0.604333333333,0.56,0.555333333333,9.005371887
2400,0.255062601892,0.274839322206,0.271888816813,0.609666666667,0.542,0.562666666667,9.388135679
2500,0.254465370989,0.275193271785,0.270704852175,0.61,0.548,0.571333333333,9.783547313
2600,0.253343191156,0.275316877604,0.270886590595,0.611666666667,0.548,0.566,10.163620023
2700,0.251457915924,0.271917632743,0.269968843681,0.619333333333,0.548,0.574666666667,10.554450904
2800,0.250895868199,0.270049625833,0.269678634081,0.621666666667,0.556,0.573333333333,10.938430444
2900,0.249875682383,0.271661012957,0.267760436475,0.621,0.568,0.576666666667,11.32577396
3000,0.24883196624,0.271806747385,0.266597860393,0.620666666667,0.562,0.576,11.714270505
3100,0.248132521568,0.271874051969,0.267399805662,0.622,0.554,0.574,12.103444064
3200,0.247824089743,0.271640078763,0.267986991692,0.622666666667,0.558,0.580666666667,12.488996095
3300,0.247156204036,0.269187474869,0.268159155652,0.623666666667,0.56,0.576,12.880880794
3400,0.246542725591,0.268126355591,0.266768773274,0.625666666667,0.57,0.579333333333,13.271337953
3500,0.246030387851,0.266258998783,0.266009968097,0.623,0.576,0.583333333333,13.660301784
3600,0.245806385612,0.266347203221,0.265915226548,0.621666666667,0.578,0.579333333333,14.051491474
3700,0.245653037958,0.266084764984,0.265835469603,0.624333333333,0.584,0.576,14.439532048
3800,0.245561803576,0.266269164353,0.265640800079,0.624,0.582,0.577333333333,14.832281398
3900,0.24538532158,0.266166563313,0.265652152401,0.625333333333,0.582,0.575333333333,15.216507165
4000,0.244667828651,0.265730202014,0.265488934099,0.627,0.59,0.578,15.603839895
4100,0.243966757427,0.265648904185,0.264925817243,0.629333333333,0.586,0.583333333333,15.987919152
4200,0.243566452597,0.265594201886,0.263811464369,0.628333333333,0.586,0.582,16.382525259
4300,0.24341651802,0.266346941136,0.265119608856,0.629666666667,0.588,0.582666666667,16.77828131
4400,0.243050688376,0.265083696548,0.264285382243,0.63,0.586,0.582666666667,17.163052493
4500,0.242726649163,0.265228524847,0.263955377314,0.633333333333,0.588,0.586666666667,17.550015093
4600,0.242491514855,0.264548994453,0.26420969189,0.634666666667,0.59,0.586,17.941138975
4700,0.242346599606,0.265016078413,0.263743109985,0.635333333333,0.59,0.586666666667,18.332284456
4800,0.242163110719,0.264797891572,0.263827096671,0.636333333333,0.59,0.584666666667,18.717541428
4900,0.241943565043,0.264591958303,0.263582059421,0.637,0.588,0.584666666667,19.106437401
5000,0.241467291767,0.263574183194,0.26377769193,0.637333333333,0.588,0.587333333333,19.494759681
5100,0.241247041875,0.263185376911,0.263570878482,0.637333333333,0.588,0.586,19.888978194
5200,0.240996278371,0.262701208842,0.263321688676,0.638,0.59,0.586,20.28685011
5300,0.240762328992,0.263176645256,0.263628103226,0.638333333333,0.592,0.586666666667,20.674181801
5400,0.240472752434,0.263392563766,0.263669139038,0.637666666667,0.588,0.583333333333,21.070132166
5500,0.240251252411,0.26452965538,0.263764672332,0.637,0.592,0.584,21.45646505
5600,0.240157565181,0.264662309695,0.263710387223,0.635666666667,0.592,0.584666666667,21.850091888
5700,0.239909881478,0.264532986196,0.263004130644,0.636666666667,0.59,0.589333333333,22.242211503
5800,0.239429731517,0.264277164294,0.262348737693,0.641333333333,0.582,0.591333333333,22.645877347
5900,0.239253216625,0.264440670262,0.261787207103,0.640333333333,0.58,0.592666666667,23.057249915
6000,0.239158258683,0.264575157544,0.262162839913,0.640666666667,0.586,0.592666666667,23.472119094
6100,0.238981295877,0.265199639003,0.26221521226,0.640666666667,0.584,0.596,23.871479708
6200,0.23856667506,0.266113042569,0.262251457694,0.643333333333,0.582,0.596,24.262350677
6300,0.23835838081,0.265979430577,0.262723768012,0.639666666667,0.59,0.591333333333,24.677422907
6400,0.238122443733,0.265003386556,0.262317187935,0.640666666667,0.592,0.59,25.078676798
6500,0.238060108276,0.265222875826,0.26214251361,0.641666666667,0.586,0.592,25.46553093
6600,0.237953107256,0.26494319883,0.262243252298,0.640333333333,0.586,0.591333333333,25.849818898
6700,0.237873824919,0.264423261562,0.261860163467,0.640333333333,0.584,0.592666666667,26.237497587
6800,0.237834995317,0.263860327022,0.262398191594,0.643333333333,0.592,0.593333333333,26.628817335
6900,0.237761114547,0.263836236086,0.262284763788,0.643666666667,0.588,0.592,27.016633791
7000,0.237729166188,0.263953814693,0.26224161505,0.642666666667,0.588,0.593333333333,27.410891883
7100,0.237656762366,0.264003871873,0.262099313579,0.642333333333,0.588,0.595333333333,27.81278165
7200,0.237599461908,0.263994523058,0.262335168365,0.642333333333,0.592,0.593333333333,28.215216325
7300,0.237400081746,0.263302357521,0.262231327457,0.641333333333,0.598,0.59,28.618785008
7400,0.237071135667,0.263018886351,0.262380097572,0.643666666667,0.592,0.590666666667,29.006491968
7500,0.237041151953,0.262939869123,0.262400115204,0.644333333333,0.594,0.59,29.390683822
7600,0.237015441645,0.262827971105,0.26226023194,0.644666666667,0.592,0.592666666667,29.781990712
7700,0.236825490446,0.262306121676,0.261274439302,0.641666666667,0.59,0.594,30.177667088
7800,0.236544136457,0.262107966065,0.26130588121,0.643333333333,0.596,0.594666666667,30.600611071
7900,0.236267855561,0.262126271978,0.26091429369,0.647,0.592,0.598,30.992920372
8000,0.236151038207,0.261893331009,0.260959769968,0.648666666667,0.594,0.597333333333,31.388650206
8100,0.236088061946,0.261551504864,0.260692487511,0.648,0.592,0.598,31.776760183
8200,0.235930832936,0.261164119693,0.260131445332,0.649,0.592,0.598,32.171388386
8300,0.235901950717,0.261316704195,0.260782160725,0.652,0.594,0.597333333333,32.556368274
8400,0.235861883892,0.261659696195,0.2607889062,0.650333333333,0.586,0.596,32.932251424
8500,0.235837380586,0.261513346661,0.261126968505,0.65,0.586,0.594666666667,33.32570656
8600,0.235777454939,0.261389646312,0.261167724432,0.649666666667,0.586,0.592666666667,33.738360162
8700,0.23558748778,0.260418834761,0.260290934673,0.647666666667,0.586,0.598666666667,34.140359423
8800,0.235403659978,0.259974063993,0.260080853206,0.648666666667,0.586,0.595333333333,34.545584903
8900,0.235310856833,0.259863771205,0.260020294921,0.648666666667,0.586,0.596,34.943432647
9000,0.235108223945,0.259895228008,0.260166007905,0.645666666667,0.588,0.595333333333,35.404760708
9100,0.23493661265,0.260550229459,0.260276820061,0.646333333333,0.584,0.596666666667,35.838533798
9200,0.234785339137,0.260900369588,0.259709480034,0.645333333333,0.59,0.600666666667,36.248026982
9300,0.23473926107,0.260669979595,0.259766877256,0.645666666667,0.592,0.599333333333,36.681096328
9400,0.234656885171,0.260380176258,0.259799400022,0.649666666667,0.594,0.599333333333,37.090049235
9500,0.234631364936,0.260393758872,0.259744865753,0.65,0.594,0.598666666667,37.490353659
9600,0.234414209701,0.260313253329,0.259227395756,0.648333333333,0.59,0.596,37.886331271
9700,0.234391085217,0.260546703359,0.259220124029,0.648,0.59,0.592,38.278175355
9800,0.234377572836,0.260569756663,0.259246089248,0.647666666667,0.59,0.591333333333,38.668220749
9900,0.234256335333,0.260272355657,0.259665111672,0.648333333333,0.59,0.589333333333,39.065383265
10000,0.234111492171,0.259961048445,0.259378971203,0.65,0.6,0.595333333333,39.453807337
10100,0.233988726992,0.260137611818,0.259242301145,0.65,0.596,0.592,39.840715964
10200,0.233952851433,0.260234413763,0.259019041074,0.648666666667,0.598,0.593333333333,40.230996803
10300,0.233840012548,0.260289142113,0.258738046203,0.646666666667,0.598,0.594666666667,40.622172615
10400,0.233827712126,0.259779832868,0.258689600086,0.650666666667,0.596,0.589333333333,41.016006612
10500,0.233737538094,0.25971241924,0.258461996009,0.650666666667,0.6,0.597333333333,41.407184996
10600,0.233706130756,0.259764302985,0.258441474664,0.648333333333,0.6,0.596666666667,41.795369511
10700,0.233668575906,0.260803201127,0.258030452158,0.648333333333,0.6,0.592666666667,42.182253977
10800,0.233546235019,0.260823764138,0.257911193449,0.650666666667,0.598,0.595333333333,42.582792299
10900,0.233529111974,0.260725748599,0.257906838167,0.650666666667,0.598,0.596666666667,42.971622983
11000,0.233298567824,0.259686324775,0.257538440676,0.652333333333,0.602,0.598,43.363453697
11100,0.233260167131,0.259645976993,0.257429000364,0.653,0.6,0.599333333333,43.755248439
11200,0.233005309744,0.259429908635,0.257240558073,0.653,0.6,0.599333333333,44.169718209
11300,0.232968567784,0.259464252566,0.257267806725,0.651666666667,0.602,0.599333333333,44.576984496
11400,0.232923173394,0.259748368327,0.257076231704,0.651,0.6,0.600666666667,44.966392984
11500,0.232794151607,0.259769062241,0.256970064926,0.652666666667,0.598,0.600666666667,45.375699552
11600,0.232760307424,0.259664181179,0.257000386691,0.652333333333,0.596,0.598666666667,45.77729323
11700,0.232672865694,0.260635531027,0.257157154772,0.653333333333,0.594,0.596666666667,46.187549783
11800,0.232613216378,0.260352912675,0.257174973821,0.653333333333,0.598,0.595333333333,46.589877019
11900,0.232590649979,0.26033613412,0.257149093018,0.653333333333,0.598,0.594666666667,47.020058914
12000,0.232449271364,0.260284410726,0.256721602777,0.652,0.598,0.598666666667,47.433142776
