iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.408520335023,0.409615474454,0.410531957624,0.170333333333,0.158,0.176666666667,0.18187798
100,0.373000941879,0.374016612041,0.371268279975,0.366333333333,0.378,0.372666666667,18.649042449
200,0.377620662005,0.379901857415,0.377056149195,0.328666666667,0.294,0.326,34.350156366
300,0.369711496659,0.374862906494,0.36856712084,0.32,0.306,0.322,50.416151773
400,0.370070851007,0.372037380149,0.370517123258,0.306,0.298,0.318,65.818393823
500,0.384163481151,0.387125849321,0.383652380006,0.348333333333,0.33,0.356,81.468936714
600,0.352500044521,0.358555576489,0.35609070969,0.327666666667,0.312,0.324,96.985396162
700,0.364203866327,0.367047465807,0.365248706521,0.389666666667,0.368,0.386,112.84095578
800,0.378417206317,0.37643345941,0.378201967897,0.371,0.374,0.381333333333,128.70427361
900,0.386581194903,0.380242522321,0.384738802927,0.341666666667,0.34,0.350666666667,144.316879947
1000,0.358785642525,0.358152561589,0.362061065045,0.362666666667,0.366,0.367333333333,159.466851975
1100,0.36755303629,0.36203279592,0.369523802676,0.380666666667,0.38,0.392666666667,174.831764669
1200,0.36476466094,0.355523019572,0.36277623972,0.423,0.424,0.423333333333,190.668761934
1300,0.354408485282,0.351804752177,0.351842836469,0.427666666667,0.412,0.429333333333,206.432634117
1400,0.347958303927,0.350055188415,0.344811279369,0.411666666667,0.406,0.414,222.54296569
1500,0.348427207457,0.349217915447,0.349954458567,0.384,0.41,0.375333333333,238.281396714
1600,0.346853010072,0.348822953302,0.343105575166,0.405666666667,0.394,0.412666666667,254.280423285
1700,0.338226578673,0.335529326142,0.337723514034,0.421,0.41,0.425333333333,270.424881051
1800,0.344154784229,0.339583189475,0.342593683644,0.425,0.454,0.448,286.555804013
1900,0.33560891932,0.338712927031,0.330704761349,0.422,0.424,0.441333333333,302.024493031
2000,0.331145440675,0.333242901204,0.329926976497,0.471,0.448,0.466666666667,317.19766267
2100,0.328575793454,0.325712575465,0.328345177067,0.459,0.46,0.464666666667,332.689479363
2200,0.326856084989,0.333571200688,0.326094160114,0.474,0.442,0.476666666667,348.38525521
2300,0.314630287461,0.320708943489,0.31454175598,0.500666666667,0.474,0.484,364.278271786
2400,0.322297803884,0.331200952428,0.322165259248,0.475333333333,0.458,0.484,379.756457691
2500,0.322811418081,0.340986741741,0.321668441165,0.485,0.456,0.49,395.545082843
2600,0.322700439678,0.328059141216,0.322015366728,0.493333333333,0.474,0.498666666667,411.104094344
2700,0.329558760302,0.338171075579,0.331077495528,0.475333333333,0.446,0.456,426.865646732
2800,0.326661551553,0.338600761588,0.329992447717,0.491333333333,0.444,0.467333333333,442.400140339
2900,0.335546140354,0.354205142004,0.34087336462,0.474666666667,0.432,0.457333333333,458.165484922
3000,0.32951908197,0.341886117698,0.331074513009,0.477,0.468,0.477333333333,473.549995826
3100,0.336239470187,0.347084329444,0.339975549629,0.473666666667,0.452,0.472,489.461592536
3200,0.336443713148,0.352250599977,0.337340839139,0.484,0.448,0.470666666667,505.102481312
3300,0.336594087844,0.345054333305,0.336221746172,0.473,0.444,0.47,520.297607678
3400,0.334281236296,0.344367101102,0.334098529239,0.459333333333,0.446,0.46,535.579004788
3500,0.329173176369,0.33330190016,0.327529055987,0.493,0.474,0.502,551.078779203
3600,0.324404865259,0.335843189587,0.325079839985,0.475333333333,0.452,0.481333333333,566.392868431
3700,0.329492775332,0.337857687669,0.330733545276,0.478666666667,0.452,0.477333333333,581.857980953
3800,0.331270235724,0.344821299167,0.331617312238,0.47,0.45,0.468666666667,597.42492451
3900,0.339821668519,0.354236655491,0.340613891558,0.447333333333,0.438,0.447333333333,612.893764435
4000,0.329567690616,0.338657343669,0.332309614715,0.489333333333,0.464,0.468666666667,628.055545246
4100,0.327431761136,0.334380390059,0.328000856657,0.498,0.478,0.490666666667,643.000440504
4200,0.31992115919,0.330875997337,0.319624535483,0.503333333333,0.48,0.500666666667,658.153007297
4300,0.326719736491,0.337212539149,0.326094552851,0.484333333333,0.462,0.476,673.288635831
4400,0.324407949246,0.329675287844,0.32344647933,0.516333333333,0.512,0.502,688.499271122
4500,0.326640624198,0.334098904953,0.330284033684,0.494,0.48,0.493333333333,703.871142823
4600,0.338420071297,0.342105748405,0.343966838344,0.480666666667,0.478,0.469333333333,718.956086947
4700,0.333061307732,0.345453527476,0.337620596667,0.477666666667,0.448,0.482666666667,734.349035971
4800,0.339215468825,0.354533833109,0.348412888735,0.468333333333,0.44,0.446666666667,749.910148416
4900,0.332287225145,0.340260768796,0.342614688002,0.500666666667,0.492,0.480666666667,765.399169266
5000,0.322513780813,0.331470071913,0.332959300825,0.489333333333,0.486,0.481333333333,780.831421766
5100,0.320124341061,0.336378413786,0.333218261491,0.501,0.468,0.492666666667,795.916485595
