iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.754446145026,0.74145107004,0.737058316923,0.203333333333,0.216,0.221333333333,0.00812522800015
100,0.628817367005,0.614134448623,0.614041500546,0.203333333333,0.218,0.222,0.68442612
200,0.407884074593,0.412062378661,0.405866819305,0.258333333333,0.248,0.275333333333,1.4344281
300,0.378027333237,0.376652357162,0.378856400937,0.409333333333,0.4,0.401333333333,2.223459377
400,0.371368178704,0.368978876072,0.373847325018,0.413333333333,0.426,0.404666666667,2.917764804
500,0.361824736504,0.356977314188,0.364845032616,0.414,0.406,0.404666666667,3.645798201
600,0.350142329762,0.34498644036,0.354188283482,0.461,0.456,0.441333333333,4.362963074
700,0.339759390271,0.333333390449,0.343673362492,0.471,0.468,0.455333333333,5.05771334
800,0.33567136022,0.331083248695,0.338915610303,0.467333333333,0.464,0.459333333333,5.726059675
900,0.32899250255,0.327110487084,0.333614116615,0.476666666667,0.462,0.454,6.449161128
1000,0.326644129822,0.325727398799,0.332182546504,0.474,0.464,0.456666666667,7.1662537
1100,0.323463667592,0.323899374432,0.329163225863,0.477333333333,0.448,0.460666666667,7.921676705
1200,0.32244522301,0.323542205105,0.328499477368,0.477666666667,0.45,0.460666666667,8.634473374
1300,0.321017254622,0.324071882561,0.327338535111,0.482666666667,0.45,0.461333333333,9.316592344
1400,0.314192756702,0.316718847538,0.318641554301,0.474666666667,0.436,0.458666666667,10.078647645
1500,0.306721800628,0.307621816689,0.312121806587,0.482333333333,0.452,0.469333333333,10.827323396
1600,0.30371318442,0.304068685068,0.309336317536,0.488333333333,0.454,0.472,11.556392645
1700,0.300208728863,0.301904221453,0.30682686503,0.494,0.466,0.478,12.240068547
1800,0.295612003292,0.297716298318,0.305137872925,0.523333333333,0.502,0.498666666667,12.959868878
1900,0.291960067273,0.294812735366,0.301581723766,0.532,0.5,0.498,13.62015952
2000,0.290473745096,0.291831160681,0.298561158358,0.531,0.518,0.512,14.351075683
2100,0.288694333187,0.290747009137,0.296681507133,0.530666666667,0.516,0.514666666667,15.069912056
2200,0.287503858337,0.289430268786,0.296001247328,0.538333333333,0.52,0.512,15.829984938
2300,0.286129092472,0.287718606788,0.295220577327,0.540333333333,0.52,0.522,16.582756296
2400,0.285103287944,0.287239199763,0.294082465382,0.531666666667,0.532,0.515333333333,17.259808203
2500,0.283725598844,0.287033929066,0.294427495641,0.539333333333,0.526,0.507333333333,18.102945906
2600,0.279713184504,0.282700631956,0.29066997744,0.548,0.534,0.526,18.829994428
2700,0.270983010813,0.277281569071,0.280865983412,0.555333333333,0.536,0.533333333333,19.564533699
2800,0.269271227657,0.275578775104,0.280299231425,0.570666666667,0.538,0.533333333333,20.259257496
2900,0.267317113387,0.274661211778,0.278841412046,0.576666666667,0.548,0.542666666667,21.027629825
3000,0.266188059252,0.274704398406,0.277839077808,0.587333333333,0.552,0.551333333333,21.833999558
3100,0.263303468604,0.272020923877,0.276434078041,0.594666666667,0.552,0.560666666667,22.814438481
3200,0.262024416559,0.269443848446,0.274787786377,0.597666666667,0.568,0.558,23.864459184
3300,0.261176038392,0.268877501715,0.274844987562,0.598333333333,0.562,0.556,24.749652751
3400,0.259199170476,0.267330887313,0.273032272871,0.599,0.554,0.552,25.51851496
3500,0.255955155616,0.264366845344,0.268335058945,0.602333333333,0.548,0.571333333333,26.252533138
3600,0.253928438447,0.264870411782,0.266370724393,0.611,0.576,0.577333333333,27.03120907
3700,0.252516665956,0.263540132614,0.264395807837,0.610666666667,0.58,0.577333333333,27.741598632
3800,0.251733032257,0.26164448789,0.264079253826,0.611666666667,0.586,0.580666666667,28.471121016
3900,0.250440396005,0.26373257511,0.263262223903,0.616,0.578,0.588,29.251532056
4000,0.249868320508,0.264146405676,0.261454542684,0.619,0.572,0.588666666667,30.045883625
4100,0.247191480115,0.261594588367,0.258460034769,0.623,0.576,0.594,30.80962504
4200,0.246700112775,0.261025755352,0.257754782609,0.627666666667,0.574,0.590666666667,31.577689624
4300,0.24616467757,0.259876644742,0.257263849934,0.631666666667,0.584,0.594666666667,32.350754096
4400,0.24553913797,0.259079944554,0.257444464266,0.628333333333,0.584,0.593333333333,33.18152401
